MS-DRG	FY08 Final Rule Post-Acute DRG	FY08 Final Rule Special Pay DRG	MDC	TYPE	MS-DRG Title	Weights 	Geometric Mean LOS	Arithmetic Mean LOS
001	No	No	PRE	SURG	Heart transplant or implant of heart assist system w MCC	23.1117	30.8	45.6
002	No	No	PRE	SURG	Heart transplant or implant of heart assist system w/o MCC	16.2735	16.1	22.8
003	Yes	No	PRE	SURG	"ECMO or trach w MV 96+ hrs or PDX exc face, mouth & neck w maj O.R."	18.7707	33.4	40.6
004	Yes	No	PRE	SURG	"Trach w MV 96+ hrs or PDX exc face, mouth & neck w/o maj O.R."	11.4219	23.8	29.3
005	No	No	PRE	SURG	Liver transplant w MCC or intestinal transplant	10.6120	17.6	23.5
006	No	No	PRE	SURG	Liver transplant w/o MCC	7.2562	9.1	10.5
007	No	No	PRE	SURG	Lung transplant	8.4002	14.6	17.3
008	No	No	PRE	SURG	Simultaneous pancreas/kidney transplant	5.1726	10.1	11.8
009	No	No	PRE	SURG	Bone marrow transplant	6.4842	18.1	21.7
010	No	No	PRE	SURG	Pancreas transplant	3.8902	9.2	10.5
011	No	No	PRE	SURG	"Tracheostomy for face,mouth & neck diagnoses w MCC"	4.1482	12.8	16.2
012	No	No	PRE	SURG	"Tracheostomy for face,mouth & neck diagnoses w CC"	3.2472	8.9	10.9
013	No	No	PRE	SURG	"Tracheostomy for face,mouth & neck diagnoses w/o CC/MCC"	2.6760	6.1	7.2
020	No	No	01	SURG	Intracranial vascular procedures w PDX hemorrhage w MCC	7.7073	15.2	19.1
021	No	No	01	SURG	Intracranial vascular procedures w PDX hemorrhage w CC	6.7021	13.4	15.5
022	No	No	01	SURG	Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC	5.6085	7.8	9.6
023	No	No	01	SURG	Cranio w major dev impl/acute complex CNS PDX w MCC or chemo implant	4.7036	9.0	12.8
024	No	No	01	SURG	Cranio w major dev impl/acute complex CNS PDX w/o MCC	3.8978	6.1	8.9
025	Yes	No	01	SURG	Craniotomy & endovascular intracranial procedures w MCC	4.2362	10.3	13.3
026	Yes	No	01	SURG	Craniotomy & endovascular intracranial procedures w CC	3.1582	6.5	8.2
027	Yes	No	01	SURG	Craniotomy & endovascular intracranial procedures w/o CC/MCC	2.3259	3.5	4.6
028	Yes	Yes	01	SURG	Spinal procedures w MCC	4.2339	10.8	14.7
029	Yes	Yes	01	SURG	Spinal procedures w CC or spinal neurostimulators	2.8356	5.3	7.3
030	Yes	Yes	01	SURG	Spinal procedures w/o CC/MCC	1.7617	2.8	3.7
031	Yes	No	01	SURG	Ventricular shunt procedures w MCC	3.2226	9.2	13.2
032	Yes	No	01	SURG	Ventricular shunt procedures w CC	1.9342	3.8	5.8
033	Yes	No	01	SURG	Ventricular shunt procedures w/o CC/MCC	1.4281	2.3	3.1
034	No	No	01	SURG	Carotid artery stent procedure w MCC	2.5438	4.8	7.3
035	No	No	01	SURG	Carotid artery stent procedure w CC	1.8996	2.0	2.9
036	No	No	01	SURG	Carotid artery stent procedure w/o CC/MCC	1.6977	1.3	1.6
037	No	No	01	SURG	Extracranial procedures w MCC	2.2630	6.0	8.7
038	No	No	01	SURG	Extracranial procedures w CC	1.4686	2.5	3.7
039	No	No	01	SURG	Extracranial procedures w/o CC/MCC	1.0909	1.5	1.8
040	Yes	Yes	01	SURG	Periph/cranial nerve & other nerv syst proc w MCC	3.2550	10.0	13.6
041	Yes	Yes	01	SURG	Periph/cranial nerve & other nerv syst proc w CC or periph neurostim	2.3595	5.4	7.3
042	Yes	Yes	01	SURG	Periph/cranial nerve & other nerv syst proc w/o CC/MCC	1.8710	2.5	3.6
052	No	No	01	MED	Spinal disorders & injuries w CC/MCC	1.4329	4.7	7.0
053	No	No	01	MED	Spinal disorders & injuries w/o CC/MCC	1.1172	3.1	4.0
054	Yes	No	01	MED	Nervous system neoplasms w MCC	1.4228	5.3	7.2
055	Yes	No	01	MED	Nervous system neoplasms w/o MCC	1.1213	3.8	5.0
