MS-DRG,FY09 Final Rule Post-Acute DRG,FY09 Final Rule Special Pay DRG,MDC,TYPE,MS-DRG Title,Weights,Geometric mean LOS,Arithmetic mean LOS
001,No,No,PRE,SURG,Heart transplant or implant of heart assist system w MCC,23.6701,29.6,41.1
002,No,No,PRE,SURG,Heart transplant or implant of heart assist system w/o MCC,12.8157,18.7,25.3
003,Yes,No,PRE,SURG,"ECMO or trach w MV 96+ hrs or PDX exc face, mouth & neck w maj O.R.",18.3694,32.6,39.8
004,Yes,No,PRE,SURG,"Trach w MV 96+ hrs or PDX exc face, mouth & neck w/o maj O.R.",11.1366,23.5,28.9
005,No,No,PRE,SURG,Liver transplant w MCC or intestinal transplant,10.8180,16.1,21.5
006,No,No,PRE,SURG,Liver transplant w/o MCC,4.8839,9.0,10.5
007,No,No,PRE,SURG,Lung transplant,9.5998,15.8,19.6
008,No,No,PRE,SURG,Simultaneous pancreas/kidney transplant,4.8811,10.1,11.9
009,No,No,PRE,SURG,Bone marrow transplant,6.6411,18.3,22.0
010,No,No,PRE,SURG,Pancreas transplant,3.7246,9.1,10.8
011,No,No,PRE,SURG,"Tracheostomy for face,mouth & neck diagnoses w MCC",4.8834,13.1,16.7
012,No,No,PRE,SURG,"Tracheostomy for face,mouth & neck diagnoses w CC",3.0527,8.8,10.7
013,No,No,PRE,SURG,"Tracheostomy for face,mouth & neck diagnoses w/o CC/MCC",1.8966,5.9,6.9
020,No,No,01,SURG,Intracranial vascular procedures w PDX hemorrhage w MCC,8.2920,14.8,18.3
021,No,No,01,SURG,Intracranial vascular procedures w PDX hemorrhage w CC,6.3596,13.7,15.5
022,No,No,01,SURG,Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC,4.1535,7.6,9.3
023,No,No,01,SURG,Cranio w major dev impl/acute complex CNS PDX w MCC or chemo implant,5.0584,8.9,12.7
024,No,No,01,SURG,Cranio w major dev impl/acute complex CNS PDX w/o MCC,3.4597,6.2,9.0
025,Yes,No,01,SURG,Craniotomy & endovascular intracranial procedures w MCC,5.0109,9.9,13.0
026,Yes,No,01,SURG,Craniotomy & endovascular intracranial procedures w CC,3.0058,6.4,8.2
027,Yes,No,01,SURG,Craniotomy & endovascular intracranial procedures w/o CC/MCC,2.1029,3.5,4.5
028,Yes,Yes,01,SURG,Spinal procedures w MCC,5.1919,10.7,14.3
029,Yes,Yes,01,SURG,Spinal procedures w CC or spinal neurostimulators,2.7943,5.1,7.1
030,Yes,Yes,01,SURG,Spinal procedures w/o CC/MCC,1.5385,2.8,3.7
031,Yes,No,01,SURG,Ventricular shunt procedures w MCC,4.3861,9.3,13.1
032,Yes,No,01,SURG,Ventricular shunt procedures w CC,1.9518,4.0,6.0
033,Yes,No,01,SURG,Ventricular shunt procedures w/o CC/MCC,1.3289,2.3,3.0
034,No,No,01,SURG,Carotid artery stent procedure w MCC,3.2220,4.6,7.3
035,No,No,01,SURG,Carotid artery stent procedure w CC,2.0227,2.1,3.3
036,No,No,01,SURG,Carotid artery stent procedure w/o CC/MCC,1.5673,1.3,1.6
037,No,No,01,SURG,Extracranial procedures w MCC,3.0263,5.9,8.6
038,No,No,01,SURG,Extracranial procedures w CC,1.5525,2.5,3.8
039,No,No,01,SURG,Extracranial procedures w/o CC/MCC,1.0005,1.5,1.8
040,Yes,Yes,01,SURG,Periph/cranial nerve & other nerv syst proc w MCC,3.9645,9.7,13.3
041,Yes,Yes,01,SURG,Periph/cranial nerve & other nerv syst proc w CC or periph neurostim,2.1518,5.3,7.2
042,Yes,Yes,01,SURG,Periph/cranial nerve & other nerv syst proc w/o CC/MCC,1.6759,2.5,3.6
052,No,No,01,MED,Spinal disorders & injuries w CC/MCC,1.6216,4.8,6.7
053,No,No,01,MED,Spinal disorders & injuries w/o CC/MCC,0.8669,3.3,4.0
054,Yes,No,01,MED,Nervous system neoplasms w MCC,1.5860,5.2,7.0
055,Yes,No,01,MED,Nervous system neoplasms w/o MCC,1.0828,3.8,5.1
056,Yes,No,01,MED,Degenerative nervous system disorders w MCC,1.6349,5.7,7.8
057,Yes,No,01,MED,Degenerative nervous system disorders w/o MCC,0.8802,3.9,5.0
058,No,No,01,MED,Multiple sclerosis & cerebellar ataxia w MCC,1.5706,5.7,7.7
059,No,No,01,MED,Multiple sclerosis & cerebellar ataxia w CC,0.9444,4.2,5.1
060,No,No,01,MED,Multiple sclerosis & cerebellar ataxia w/o CC/MCC,0.6994,3.4,4.0
061,No,No,01,MED,Acute ischemic stroke w use of thrombolytic agent w MCC,2.8717,6.8,8.9
062,No,No,01,MED,Acute ischemic stroke w use of thrombolytic agent w CC,1.9537,5.3,6.3
063,No,No,01,MED,Acute ischemic stroke w use of thrombolytic agent w/o CC/MCC,1.5143,3.9,4.5
064,Yes,No,01,MED,Intracranial hemorrhage or cerebral infarction w MCC,1.8450,5.5,7.5
065,Yes,No,01,MED,Intracranial hemorrhage or cerebral infarction w CC,1.1760,4.3,5.2
066,Yes,No,01,MED,Intracranial hemorrhage or cerebral infarction w/o CC/MCC,0.8439,3.1,3.7
067,No,No,01,MED,Nonspecific CVA & precerebral occlusion w/o infarct w MCC,1.3873,4.4,5.8
068,No,No,01,MED,Nonspecific CVA & precerebral occlusion w/o infarct w/o MCC,0.8457,2.7,3.4
069,No,No,01,MED,Transient ischemia,0.7157,2.4,3.0
070,Yes,No,01,MED,Nonspecific cerebrovascular disorders w MCC,1.8246,6.0,7.9
071,Yes,No,01,MED,Nonspecific cerebrovascular disorders w CC,1.1361,4.4,5.6
072,Yes,No,01,MED,Nonspecific cerebrovascular disorders w/o CC/MCC,0.7650,2.8,3.5
073,No,No,01,MED,Cranial & peripheral nerve disorders w MCC,1.3082,4.7,6.2
074,No,No,01,MED,Cranial & peripheral nerve disorders w/o MCC,0.8423,3.4,4.3
075,No,No,01,MED,Viral meningitis w CC/MCC,1.6730,5.7,7.3
076,No,No,01,MED,Viral meningitis w/o CC/MCC,0.8595,3.4,4.1
077,No,No,01,MED,Hypertensive encephalopathy w MCC,1.6233,5.2,6.7
078,No,No,01,MED,Hypertensive encephalopathy w CC,1.0082,3.6,4.4
079,No,No,01,MED,Hypertensive encephalopathy w/o CC/MCC,0.7398,2.8,3.4
080,No,No,01,MED,Nontraumatic stupor & coma w MCC,1.1032,3.8,5.1
081,No,No,01,MED,Nontraumatic stupor & coma w/o MCC,0.7104,2.7,3.5
082,No,No,01,MED,"Traumatic stupor & coma, coma >1 hr w MCC",2.0201,3.7,6.4
083,No,No,01,MED,"Traumatic stupor & coma, coma >1 hr w CC",1.2993,3.7,4.9
084,No,No,01,MED,"Traumatic stupor & coma, coma >1 hr w/o CC/MCC",0.8753,2.4,3.1
085,Yes,No,01,MED,"Traumatic stupor & coma, coma <1 hr w MCC",2.0908,5.5,7.6
086,Yes,No,01,MED,"Traumatic stupor & coma, coma <1 hr w CC",1.2072,3.9,5.0
087,Yes,No,01,MED,"Traumatic stupor & coma, coma <1 hr w/o CC/MCC",0.8011,2.6,3.3
088,No,No,01,MED,Concussion w MCC,1.5829,4.2,5.9
089,No,No,01,MED,Concussion w CC,0.9186,3.0,3.7
090,No,No,01,MED,Concussion w/o CC/MCC,0.6751,2.0,2.5
091,Yes,No,01,MED,Other disorders of nervous system w MCC,1.5747,4.6,6.4
092,Yes,No,01,MED,Other disorders of nervous system w CC,0.9218,3.5,4.5
093,Yes,No,01,MED,Other disorders of nervous system w/o CC/MCC,0.6777,2.6,3.2
094,No,No,01,MED,Bacterial & tuberculous infections of nervous system w MCC,3.3505,9.2,11.8
095,No,No,01,MED,Bacterial & tuberculous infections of nervous system w CC,2.1935,6.9,8.6
096,No,No,01,MED,Bacterial & tuberculous infections of nervous system w/o CC/MCC,1.8217,5.0,6.2
097,No,No,01,MED,Non-bacterial infect of nervous sys exc viral meningitis w MCC,3.2073,9.9,12.6
098,No,No,01,MED,Non-bacterial infect of nervous sys exc viral meningitis w CC,1.8504,6.7,8.3
099,No,No,01,MED,Non-bacterial infect of nervous sys exc viral meningitis w/o CC/MCC,1.2593,4.7,5.9
100,Yes,No,01,MED,Seizures w MCC,1.5069,4.7,6.3
101,Yes,No,01,MED,Seizures w/o MCC,0.7617,2.9,3.7
102,No,No,01,MED,Headaches w MCC,0.9584,3.3,4.5
103,No,No,01,MED,Headaches w/o MCC,0.6239,2.5,3.1
113,No,No,02,SURG,Orbital procedures w CC/MCC,1.5787,3.8,5.6
114,No,No,02,SURG,Orbital procedures w/o CC/MCC,0.8289,1.9,2.6
115,No,No,02,SURG,Extraocular procedures except orbit,1.0675,3.3,4.3
116,No,No,02,SURG,Intraocular procedures w CC/MCC,1.1346,2.6,4.1
117,No,No,02,SURG,Intraocular procedures w/o CC/MCC,0.6699,1.6,2.2
121,No,No,02,MED,Acute major eye infections w CC/MCC,0.9590,4.3,5.5
122,No,No,02,MED,Acute major eye infections w/o CC/MCC,0.6148,3.3,4.0
123,No,No,02,MED,Neurological eye disorders,0.6876,2.3,2.9
124,No,No,02,MED,Other disorders of the eye w MCC,1.0642,3.9,5.3
125,No,No,02,MED,Other disorders of the eye w/o MCC,0.6689,2.8,3.5
129,No,No,03,SURG,Major head & neck procedures w CC/MCC or major device,2.0109,3.7,5.2
130,No,No,03,SURG,Major head & neck procedures w/o CC/MCC,1.1513,2.3,2.9
131,No,No,03,SURG,Cranial/facial procedures w CC/MCC,1.9933,4.0,5.8
132,No,No,03,SURG,Cranial/facial procedures w/o CC/MCC,1.0981,2.1,2.6
133,No,No,03,SURG,"Other ear, nose, mouth & throat O.R. procedures w CC/MCC",1.5552,3.6,5.3
134,No,No,03,SURG,"Other ear, nose, mouth & throat O.R. procedures w/o CC/MCC",0.8213,1.7,2.2
135,No,No,03,SURG,Sinus & mastoid procedures w CC/MCC,1.6832,3.8,5.9
136,No,No,03,SURG,Sinus & mastoid procedures w/o CC/MCC,0.8974,1.7,2.3
137,No,No,03,SURG,Mouth procedures w CC/MCC,1.2619,3.8,5.4
138,No,No,03,SURG,Mouth procedures w/o CC/MCC,0.7366,1.9,2.5
139,No,No,03,SURG,Salivary gland procedures,0.8147,1.4,1.8
146,No,No,03,MED,"Ear, nose, mouth & throat malignancy w MCC",2.0472,6.6,9.4
147,No,No,03,MED,"Ear, nose, mouth & throat malignancy w CC",1.2450,4.3,6.1
148,No,No,03,MED,"Ear, nose, mouth & throat malignancy w/o CC/MCC",0.8206,2.7,3.8
149,No,No,03,MED,Dysequilibrium,0.6109,2.2,2.7
150,No,No,03,MED,Epistaxis w MCC,1.2254,3.7,5.2
151,No,No,03,MED,Epistaxis w/o MCC,0.6034,2.3,2.9
152,No,No,03,MED,Otitis media & URI w MCC,0.8994,3.4,4.5
153,No,No,03,MED,Otitis media & URI w/o MCC,0.5974,2.6,3.2
154,No,No,03,MED,"Other ear, nose, mouth & throat diagnoses w MCC",1.3776,4.6,6.3
155,No,No,03,MED,"Other ear, nose, mouth & throat diagnoses w CC",0.8784,3.5,4.4
